p1	p2	rg	p	p1_id	p2_id	id	method
../output_wrangling/output_pmid33310728_RA_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid33310728_RA_eur	pmid27455348_ALS_eur	pmid33310728_RA_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid33987465_PD_eur.hdl.rds	0.0776	  5.38e-01 	pmid27455348_ALS_eur	pmid33987465_PD_eur	pmid27455348_ALS_eur/pmid33987465_PD_eur	hdl
../output_wrangling/output_pmid33987465_PD_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0.0776	  5.38e-01 	pmid33987465_PD_eur	pmid27455348_ALS_eur	pmid33987465_PD_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	../output_wrangling/output_pmid34737426_APH_eur.hdl.rds	0	  NA 	pmid27455348_ALS_eur	pmid34737426_APH_eur	pmid27455348_ALS_eur/pmid34737426_APH_eur	hdl
../output_wrangling/output_pmid34737426_APH_eur.hdl.rds	../output_wrangling/output_pmid27455348_ALS_eur.hdl.rds	0	  NA 	pmid34737426_APH_eur	pmid27455348_ALS_eur	pmid34737426_APH_eur/pmid27455348_ALS_eur	hdl
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	0	  NA 	pmid27989323_bNGF_eur	pmid27989323_eotaxin_eur	pmid27989323_bNGF_eur/pmid27989323_eotaxin_eur	hdl
../output_wrangling/output_pmid27989323_eotaxin_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	  NA 	pmid27989323_eotaxin_eur	pmid27989323_bNGF_eur	pmid27989323_eotaxin_eur/pmid27989323_bNGF_eur	hdl
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	0	  NA 	pmid27989323_bNGF_eur	pmid27989323_ip10_eur	pmid27989323_bNGF_eur/pmid27989323_ip10_eur	hdl
../output_wrangling/output_pmid27989323_ip10_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	  NA 	pmid27989323_ip10_eur	pmid27989323_bNGF_eur	pmid27989323_ip10_eur/pmid27989323_bNGF_eur	hdl
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	0	  NA 	pmid27989323_bNGF_eur	pmid29566793_ALS_eur	pmid27989323_bNGF_eur/pmid29566793_ALS_eur	hdl
../output_wrangling/output_pmid29566793_ALS_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	  NA 	pmid29566793_ALS_eur	pmid27989323_bNGF_eur	pmid29566793_ALS_eur/pmid27989323_bNGF_eur	hdl
../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	../output_wrangling/output_pmid33310728_RA_eur.hdl.rds	0	  NA 	pmid27989323_bNGF_eur	pmid33310728_RA_eur	pmid27989323_bNGF_eur/pmid33310728_RA_eur	hdl
../output_wrangling/output_pmid33310728_RA_eur.hdl.rds	../output_wrangling/output_pmid27989323_bNGF_eur.hdl.rds	0	  NA 	pmid33310728_RA_eur	pmid27989323_bNGF_eur	pmid33310728_RA_eur/pmid27989323_bNGF_eur	hdl
